,core,peri,log2fc,pvalue
IFITM2,9.50585467043026,13.9251032143226,-4.41924854389237,2.48E-103
S100A8,10.2074477059085,14.159901833233,-3.9524541273245,1.71E-77
IFITM1,3.00408113458718,6.57673012622333,-3.57264899163615,2.07E-63
S100A9,9.79204116569681,13.0474526315124,-3.25541146581554,1.43E-59
HBB,4.29390558531593,7.37993653356359,-3.08603094824767,5.87E-31
TAGLN2,2.99366527145393,5.783565519795,-2.78990024834108,7.57E-42
S100A6,4.6605580810505,7.34148019396295,-2.68092211291246,3.49E-33
S100A12,3.60555811979337,6.20610956347527,-2.6005514436819,5.24E-32
ITM2B,5.2425060330909,7.44610331415526,-2.20359728106436,1.32E-24
H3F3A,6.16646356095773,8.36046746658147,-2.19400390562374,2.97E-24
S100A11,7.88265165406221,9.93424117206272,-2.05158951800051,2.56E-22
RGS2,2.94605728817442,4.93722169093113,-1.99116440275671,3.17E-23
FPR1,2.20602892877029,4.16838480734327,-1.96235587857298,3.39E-26
S100A4,2.8117124951083,4.7363804081774,-1.9246679130691,5.34E-22
S100P,1.17795549491177,3.0651434626555,-1.88718796774372,3.12E-31
GMFG,2.78608646474032,4.61599419843005,-1.82990773368973,5.96E-21
GCA,2.25733349494927,4.08387063381208,-1.82653713886281,1.07E-22
MNDA,1.92044454590397,3.68488346898865,-1.76443892308469,3.20E-23
IL1R2,2.14560336967368,3.89949660395966,-1.75389323428598,3.04E-21
CMTM2,1.14435057782325,2.76749098633193,-1.62314040850868,5.27E-25
FCGR3B,1.30639789035937,2.91421149787118,-1.60781360751181,1.48E-23
CST7,1.72467430680091,3.28243657993902,-1.55776227313811,2.33E-19
HLA-C,4.46094332900368,5.9762814673379,-1.51533813833421,5.00E-13
SELL,0.957355490469552,2.47130632713339,-1.51395083666384,7.19E-25
ANP32A,1.76490544392706,3.18963914243411,-1.42473369850705,2.71E-17
TALDO1,2.03794108242352,3.38650319621174,-1.34856211378822,8.58E-15
BCL2A1,3.33358400982764,4.61857750822923,-1.28499349840159,1.95E-10
LSP1,2.03477090837982,3.31667133873854,-1.28190043035872,2.16E-13
HLA-B,5.73815240530958,6.99283106348822,-1.25467865817864,4.53E-09
CXCR2,0.752907944881138,2.00107768879624,-1.2481697439151,1.28E-20
SMAP2,2.82205273002321,3.98883919356616,-1.16678646354295,4.83E-10
IFITM3,3.97388008223693,5.0963746751782,-1.12249459294127,5.61E-08
CKLF,1.31194438897973,2.41172703054328,-1.09978264156355,2.21E-13
B2M,9.29957301048691,10.3799870938219,-1.08041408333497,5.32E-08
G0S2,5.64334347361407,6.71527121915634,-1.07192774554227,2.09E-06
MMP25,0.665956495794258,1.66714513662521,-1.00118864083096,6.62E-16
CDKN2D,0.736907683216832,1.73269934960686,-0.99579166639003,5.38E-15
C5AR1,2.13686387320311,3.11280537531517,-0.975941502112061,1.45E-08
MYADM,0.863650848010775,1.80278733190263,-0.939136483891855,4.49E-13
TSC22D3,2.84001692055397,3.76840059419204,-0.92838367363807,6.09E-07
RIPOR2,0.993120564824717,1.91714680856783,-0.924026243743109,2.14E-11
VNN2,0.469238345096435,1.38539187196776,-0.916153526871324,2.10E-16
TXNIP,2.63675073193155,3.54995022036106,-0.913199488429513,7.56E-07
PROK2,1.11599229263326,2.02284735811231,-0.906855065479051,2.83E-10
SRGN,7.01107053909595,7.90460182496718,-0.893531285871227,3.45E-05
SLC25A37,3.59725165753842,4.48917880583536,-0.891927148296944,5.38E-06
NCF1,1.64292107202456,2.52756664935394,-0.884645577329376,2.16E-08
BASP1,2.98082523104822,3.8507296130575,-0.869904382009283,5.19E-06
TREM1,1.39762954812924,2.264707561864,-0.867078013734768,8.57E-09
CDA,0.941116018558759,1.80679190961757,-0.865675891058815,1.31E-10
H3F3B,7.50698549902857,8.37243941004984,-0.865453911021271,4.57E-05
SERPINA1,1.8439397346717,2.7021587783199,-0.858219043648206,1.39E-07
ALPL,0.670003685570991,1.52671500667249,-0.856711321101497,1.64E-12
ABTB1,0.897887970556796,1.73197421089246,-0.834086240335668,1.36E-10
LCP1,1.89233009207839,2.71774913182925,-0.825419039750858,4.87E-07
TXN,1.73469127330587,2.53136971959633,-0.796678446290456,6.26E-07
YPEL3,2.37333502655444,3.16903712511211,-0.795702098557667,4.40E-06
LILRA5,0.502903856847216,1.29044385929215,-0.787540002444936,9.99E-13
RAC2,1.01258929652209,1.78579142192886,-0.773202125406764,8.07E-09
LST1,1.55013024614949,2.27570890444512,-0.725578658295635,1.84E-06
TUBA4A,0.54635320071577,1.27155012299644,-0.725196922280672,6.07E-11
RGL4,0.281508946671234,1.0041079850173,-0.722599038346065,2.14E-14
BEST1,0.999884244420421,1.72151951842168,-0.721635274001257,4.25E-08
EVI2B,1.49821987699087,2.21792862142089,-0.719708744430022,1.37E-06
ACTB,10.419793055348,11.1337087753207,-0.713915719972691,9.07E-05
RHOG,2.13602062490687,2.83752934728472,-0.701508722377858,3.04E-05
CARD16,0.97233239199057,1.66623219866196,-0.69389980667139,9.03E-08
TYROBP,5.81636932825329,6.50630964792052,-0.689940319667236,0.001240420516067
HLA-E,3.72103295133158,4.40408982246063,-0.683056871129048,0.000532724133714
HBA2,1.37766570078634,2.05395562241154,-0.676289921625198,8.48E-06
TNFRSF10C,0.796946875201067,1.46342677027711,-0.66647989507604,6.33E-08
MYL12A,1.96760751373966,2.62689539633372,-0.659287882594061,4.71E-05
FTH1,13.2705403067038,13.9280856153082,-0.657545308604476,5.96E-08
R3HDM4,1.20379796471145,1.86100525219791,-0.657207287486461,1.60E-06
SOD2,3.90408393479841,4.55811195333026,-0.654028018531851,0.001175205433503
SMCHD1,1.07878783708577,1.72621239555521,-0.647424558469447,1.22E-06
AQP9,0.830180497564059,1.47533878513929,-0.645158287575234,1.75E-07
GNB2,1.84295379574006,2.47278102802484,-0.629827232284782,7.45E-05
TUBA1A,2.11402259713047,2.73363687594484,-0.619614278814371,0.000222500268986
ZYX,1.94428247911904,2.56041467704561,-0.61613219792657,0.000133267618499
ARHGDIB,2.65531383672995,3.26688138325606,-0.611567546526107,0.000574561660227
LTB,0.424330709570732,1.0204823523135,-0.596151642742766,2.23E-09
CNN2,0.866308316940707,1.46065513311752,-0.594346816176811,1.75E-06
JPT1,1.43496696062346,2.0204260995271,-0.585459138903641,5.97E-05
ALOX5AP,3.64160445232922,4.21283500123213,-0.571230548902906,0.003784698507163
HBA1,1.19402883712493,1.76291841678509,-0.568889579660165,3.87E-05
MSRB1,0.730582830521314,1.2994609449325,-0.568878114411185,1.06E-06
XPO6,0.76171108043566,1.31901770751778,-0.557306627082118,2.15E-06
UBE2D1,0.710024063335599,1.2620897660769,-0.552065702741297,1.24E-06
SH3BGRL3,4.36478200311313,4.90413208337275,-0.539350080259624,0.008064123303111
ARG1,0.311882307818668,0.843094094418396,-0.531211786599728,3.17E-09
CSF3R,3.01795822910466,3.54744711054508,-0.529488881440416,0.004878493232243
ICAM3,0.506769279398826,1.03222268120611,-0.525453401807281,2.70E-07
MYL6,5.31878340950365,5.83417037082723,-0.515386961323584,0.014053847183604
STK17B,1.02652037462241,1.53840275335163,-0.511882378729217,5.61E-05
CPPED1,0.423118626267923,0.934959544062408,-0.511840917794485,9.11E-08
SPI1,3.4464770462525,3.95716567000167,-0.510688623749171,0.007567394847616
LAMTOR4,1.95927326719586,2.46381470260398,-0.504541435408123,0.001694309729587
OAZ1,5.86174827361716,6.36317340548021,-0.501425131863044,0.015408619380806
TSPO,2.75629979798553,3.25043232069338,-0.494132522707859,0.006070316750818
NAMPT,4.79469041594677,5.28017496364066,-0.485484547693889,0.022367300398981
VSIR,1.74085323112579,2.22547743929266,-0.484624208166866,0.001554173729577
MMP9,0.451929762561133,0.933122101200563,-0.48119233863943,1.29E-06
MBOAT7,0.638331777013683,1.11891593091223,-0.480584153898545,8.85E-06
FOLR3,0.38533554603343,0.863720654062523,-0.478385108029093,5.90E-07
AL137857.1,0.270324333226194,0.741155484169389,-0.470831150943195,1.02E-08
TKT,1.24633478648837,1.71686358343291,-0.470528796944542,0.000515327627249
FCER1G,4.01867985089942,4.48151352932505,-0.462833678425626,0.021107312739094
PYCARD,1.21442066116763,1.6734947808105,-0.459074119642869,0.000546611185102
JAML,0.409313142146797,0.868307061621467,-0.45899391947467,1.04E-06
CXCR1,0.32026619666793,0.77461592473031,-0.45434972806238,2.30E-07
GNG10,1.50093560595549,1.95466147814347,-0.453725872187975,0.001903390350052
PRR13,1.79292206072602,2.24538003067709,-0.452457969951076,0.003418395241706
CYSTM1,1.47117277854547,1.90790956696657,-0.436736788421105,0.003063529898037
NIBAN1,0.894707158797331,1.33135889770781,-0.436651738910479,0.000310790991803
ANXA3,0.481683503737652,0.913632780270854,-0.431949276533203,1.08E-05
LRP10,0.608600044158545,1.03862336275909,-0.430023318600542,3.81E-05
GPSM3,1.87479938007354,2.30189289657117,-0.42709351649763,0.006595125364317
RABAC1,0.778725461308379,1.20443503208536,-0.425709570776983,0.000160116321755
CLEC4E,0.401583458536483,0.824932514407245,-0.423349055870762,3.79E-06
CLEC12A,0.15439215830904,0.566932523002996,-0.412540364693955,7.08E-09
ZDHHC18,0.308563394404201,0.713613303408527,-0.405049909004326,1.59E-06
AC011446.2,0.366997694777934,0.770878058171734,-0.4038803633938,5.55E-06
WAS,0.904897275636208,1.30801774055722,-0.403120464921011,0.000643935606718
VASP,0.939919426395828,1.33622150145798,-0.396302075062154,0.00102727845561
EFHD2,1.7293443259526,2.12328767826269,-0.393943352310087,0.009708187651751
ITGB2,1.71798513944484,2.11178628559512,-0.393801146150278,0.008399871073441
NFE2,0.446200323960124,0.839552713274251,-0.393352389314128,2.13E-05
HOTAIRM1,0.171977502876673,0.565166108764226,-0.393188605887553,4.44E-08
IGSF6,0.962137674734226,1.35474903460594,-0.392611359871713,0.001106687723438
HLA-A,4.35587796561916,4.73865399892825,-0.382776033309086,0.057360272907391
